b_acc,epoch,epoch_loss,loss,lr-AdamW,step
,,,,3.6e-05,9
0.0,0,,0.012588459998369217,,9
,,,,7.6e-05,19
0.4921875,0,,0.15319539606571198,,19
,,,,0.000116,29
0.5531250238418579,0,,0.3100177049636841,,29
,,,,0.00015600000000000002,39
0.0,0,,0.0022793866228312254,,39
,,,,0.000196,49
0.5475000143051147,0,,0.08387388288974762,,49
,,,,0.0002,59
0.5755208134651184,0,,0.3526541292667389,,59
,,,,0.0002,69
0.5910714268684387,0,,0.04541878029704094,,69
,,,,0.0002,79
0.6019531488418579,0,,0.04703325778245926,,79
,,,,0.0002,89
0.0,0,,0.001030859537422657,,89
,,,,0.0002,99
0.0,0,,0.0029741981998085976,,99
,,,,0.0002,109
0.5710227489471436,0,,0.0882149487733841,,109
,,,,0.0002,119
0.0,0,,0.0011684829369187355,,119
,,,,0.0002,129
0.0,0,,0.0007261851569637656,,129
,,,,0.0002,139
0.0,0,,0.001433118712157011,,139
,,,,0.0002,149
0.0,0,,0.0017383107915520668,,149
,0,0.11288842558860779,,,158
,,,,0.0002,159
0.0,1,,0.00047330951201729476,,159
,,,,0.0002,169
0.0,1,,0.0007721642032265663,,169
,,,,0.0002,179
0.5565476417541504,1,,0.14784081280231476,,179
,,,,0.0002,189
0.569556474685669,1,,0.12592299282550812,,189
,,,,0.0002,199
0.5663110017776489,1,,0.15646247565746307,,199
,,,,0.0002,209
0.5906862616539001,1,,0.029577117413282394,,209
,,,,0.0002,219
0.0,1,,0.0010723567102104425,,219
,,,,0.0002,229
0.0,1,,0.0006176283350214362,,229
,,,,0.0002,239
0.5883487462997437,1,,0.047335632145404816,,239
,,,,0.0002,249
0.5844780206680298,1,,0.1534474492073059,,249
,,,,0.0002,259
0.5779703259468079,1,,0.34960323572158813,,259
,,,,0.0002,269
0.5869932174682617,1,,0.3788280487060547,,269
,,,,0.0002,279
0.5911673307418823,1,,0.16453835368156433,,279
,,,,0.0002,289
0.5734732747077942,1,,0.11066984385251999,,289
,,,,0.0002,299
0.5742464661598206,1,,0.5008031725883484,,299
