b_acc,epoch,epoch_loss,loss,lr-AdamW,step
,,,,3.6e-05,9
0.0,0,,0.012587636709213257,,9
,,,,7.6e-05,19
0.4921875,0,,0.15320207178592682,,19
,,,,0.000116,29
0.5531250238418579,0,,0.3099938929080963,,29
,,,,0.00015600000000000002,39
0.0,0,,0.002251575468108058,,39
,,,,0.000196,49
0.5475000143051147,0,,0.0836074948310852,,49
,,,,0.0002,59
0.5755208134651184,0,,0.3525215983390808,,59
,,,,0.0002,69
0.5910714268684387,0,,0.06647522002458572,,69
,,,,0.0002,79
0.5882812738418579,0,,0.07188047468662262,,79
,,,,0.0002,89
0.0,0,,0.001250601839274168,,89
,,,,0.0002,99
0.0,0,,0.003766816109418869,,99
,,,,0.0002,109
0.5690340995788574,0,,0.11595210433006287,,109
,,,,0.0002,119
0.0,0,,0.001528437016531825,,119
,,,,0.0002,129
0.0,0,,0.0017731406260281801,,129
,,,,0.0002,139
0.0,0,,0.0022943858057260513,,139
,,,,0.0002,149
0.0,0,,0.001142494729720056,,149
,0,0.1171136274933815,,,158
,,,,0.0002,159
0.0,1,,0.0008573989034630358,,159
,,,,0.0002,169
0.0,1,,0.001224595820531249,,169
,,,,0.0002,179
0.5104166865348816,1,,0.17057068645954132,,179
,,,,0.0002,189
0.569556474685669,1,,0.11466913670301437,,189
,,,,0.0002,199
0.5594512224197388,1,,0.14692553877830505,,199
,,,,0.0002,209
0.5490196347236633,1,,0.11250992119312286,,209
,,,,0.0002,219
0.0,1,,0.0016750979702919722,,219
,,,,0.0002,229
0.0,1,,0.0011577907716855407,,229
,,,,0.0002,239
0.5895061492919922,1,,0.045034170150756836,,239
,,,,0.0002,249
0.6006181240081787,1,,0.1999988704919815,,249
,,,,0.0002,259
0.6092203259468079,1,,0.3629041314125061,,259
,,,,0.0002,269
0.616272509098053,1,,0.47470366954803467,,269
,,,,0.0002,279
0.6115702390670776,1,,0.20344549417495728,,279
,,,,0.0002,289
0.597328245639801,1,,0.2521100640296936,,289
,,,,0.0002,299
0.598625898361206,1,,0.37212300300598145,,299
,,,,0.0002,309
0.5943708419799805,1,,0.1211419403553009,,309
,1,0.10193461924791336,,,317
,,,,0.0002,319
0.921875,2,,0.0424233078956604,,319
,,,,0.0002,329
0.5234375,2,,0.035581231117248535,,329
,,,,0.0002,339
0.5582386255264282,2,,0.04792371764779091,,339
,,,,0.0002,349
0.5244140625,2,,0.239706352353096,,349
,,,,0.0002,359
0.0,2,,0.0029163374565541744,,359
,,,,0.0002,369
0.0,2,,0.0012156721204519272,,369
,,,,0.0002,379
0.47883063554763794,2,,0.3916315734386444,,379
,,,,0.0002,389
0.4557291567325592,2,,0.10824733227491379,,389
,,,,0.0002,399
0.46493902802467346,2,,0.12123258411884308,,399
,,,,0.0002,409
0.0,2,,0.0007178862579166889,,409
,,,,0.0002,419
0.43382352590560913,2,,0.2935766577720642,,419
,,,,0.0002,429
0.0,2,,0.0020507830195128918,,429
,,,,0.0002,439
0.45466187596321106,2,,0.15438354015350342,,439
,,,,0.0002,449
0.0,2,,0.001496422104537487,,449
,,,,0.0002,459
0.46852993965148926,2,,0.3013904094696045,,459
,,,,0.0002,469
0.47183388471603394,2,,0.1824953705072403,,469
,2,0.07987654954195023,,,476
,,,,0.0002,479
0.625,3,,0.0,,479
,,,,0.0002,489
0.5528846383094788,3,,0.09619130939245224,,489
,,,,0.0002,499
0.0,3,,0.0003556726733222604,,499
,,,,0.0002,509
0.5198863744735718,3,,0.056269753724336624,,509
,,,,0.0002,519
0.0,3,,0.00049239257350564,,519
,,,,0.0002,529
0.5100235939025879,3,,0.24764934182167053,,529
,,,,0.0002,539
0.0,3,,0.000898029888048768,,539
,,,,0.0002,549
0.4708904027938843,3,,0.10803423821926117,,549
,,,,0.0002,559
0.4755271077156067,3,,0.20351892709732056,,559
,,,,0.0002,569
0.0,3,,0.0006965653738006949,,569
,,,,0.0002,579
0.0,3,,0.0003031964006368071,,579
,,,,0.0002,589
0.0,3,,0.0006275908090174198,,589
,,,,0.0002,599
0.0,3,,0.0033206644002348185,,599
,,,,0.0002,609
0.44807329773902893,3,,0.07962038367986679,,609
,,,,0.0002,619
0.4722464978694916,3,,0.14929232001304626,,619
,,,,0.0002,629
0.0,3,,0.0002372084418311715,,629
,3,0.060323700308799744,,,635
,,,,0.0002,639
0.875,4,,0.10919570922851562,,639
,,,,0.0002,649
0.5424107313156128,4,,0.08147068321704865,,649
,,,,0.0002,659
0.0,4,,0.00031548459082841873,,659
,,,,0.0002,669
0.560661792755127,4,,0.15299613773822784,,669
,,,,0.0002,679
0.6022727489471436,4,,0.06462930887937546,,679
,,,,0.0002,689
0.5908564925193787,4,,0.05993307754397392,,689
,,,,0.0002,699
0.0,4,,0.0041197300888597965,,699
,,,,0.0002,709
0.5418074131011963,4,,0.07310628145933151,,709
,,,,0.0002,719
0.5401785969734192,4,,0.0,,719
,,,,0.0002,729
0.5319148898124695,4,,0.07526329159736633,,729
,,,,0.0002,739
0.5489783883094788,4,,0.14647933840751648,,739
,,,,0.0002,749
0.547423243522644,4,,0.044918183237314224,,749
,,,,0.0002,759
0.0,4,,0.0027807147707790136,,759
,,,,0.0002,769
0.0,4,,0.005200406536459923,,769
,,,,0.0002,779
0.0,4,,0.00023947548470459878,,779
,,,,0.0002,789
0.5324675440788269,4,,0.052289046347141266,,789
,4,0.08386962860822678,,,794
,,,,0.0002,799
0.19374999403953552,5,,0.025250330567359924,,799
,,,,0.0002,809
0.30416667461395264,5,,0.0,,809
,,,,0.0002,819
0.36625000834465027,5,,0.1080884039402008,,819
,,,,0.0002,829
0.36696428060531616,5,,0.048435524106025696,,829
,,,,0.0002,839
0.3638888895511627,5,,0.0,,839
,,,,0.0002,849
0.0,5,,0.00023250680533237755,,849
,,,,0.0002,859
0.0,5,,0.001710511278361082,,859
,,,,0.0002,869
0.0,5,,0.0008865297422744334,,869
,,,,0.0002,879
0.0,5,,0.0016186534194275737,,879
,,,,0.0002,889
0.4796052575111389,5,,0.023135073482990265,,889
,,,,0.0002,899
0.0,5,,0.005536665208637714,,899
,,,,0.0002,909
0.521467387676239,5,,0.07202520221471786,,909
,,,,0.0002,919
0.5267500281333923,5,,0.11300189048051834,,919
,,,,0.0002,929
0.0,5,,0.0012410187628120184,,929
,,,,0.0002,939
0.0,5,,0.003208533162251115,,939
,,,,0.0002,949
0.5288306474685669,5,,0.13921183347702026,,949
,5,0.06148243695497513,,,953
,,,,0.0002,959
0.0,6,,0.0024051719810813665,,959
,,,,0.0002,969
0.0,6,,0.004065214656293392,,969
,,,,0.0002,979
0.0,6,,0.0016407277435064316,,979
,,,,0.0002,989
0.4401041567325592,6,,0.0,,989
,,,,0.0002,999
0.0,6,,0.0008438015938736498,,999
,,,,0.0002,1009
0.0,6,,0.014144769869744778,,1009
,,,,0.0002,1019
0.0,6,,0.001242301077581942,,1019
,,,,0.0002,1029
0.49671053886413574,6,,0.04735918343067169,,1029
,,,,0.0002,1039
0.0,6,,0.006584681570529938,,1039
,,,,0.0002,1049
0.0,6,,0.0007939873030409217,,1049
,,,,0.0002,1059
0.5073702931404114,6,,0.02318711392581463,,1059
,,,,0.0002,1069
0.0,6,,0.007844559848308563,,1069
,,,,0.0002,1079
0.5064483880996704,6,,0.09634436666965485,,1079
,,,,0.0002,1089
