b_acc,epoch,epoch_loss,loss,lr-AdamW,step
,,,,3.6e-05,9
0.0,0,,0.012589729391038418,,9
,,,,7.6e-05,19
0.4921875,0,,0.1532154679298401,,19
,,,,0.000116,29
0.5531250238418579,0,,0.3100852966308594,,29
,,,,0.00015600000000000002,39
0.0,0,,0.002288942225277424,,39
,,,,0.000196,49
0.5475000143051147,0,,0.08360424637794495,,49
,,,,0.0002,59
0.5765625238418579,0,,0.344473659992218,,59
,,,,0.0002,69
0.590624988079071,0,,0.08074206113815308,,69
,,,,0.0002,79
0.589062511920929,0,,0.04571077600121498,,79
,,,,0.0002,89
0.0,0,,0.0013043133076280355,,89
,,,,0.0002,99
0.0,0,,0.0036027035675942898,,99
,,,,0.0002,109
0.5789772868156433,0,,0.11658917367458344,,109
,,,,0.0002,119
0.0,0,,0.0008063656277954578,,119
,,,,0.0002,129
0.0,0,,0.002130295615643263,,129
,,,,0.0002,139
0.0,0,,0.0022832523100078106,,139
,,,,0.0002,149
0.0,0,,0.0010174931958317757,,149
,0,0.1146753579378128,,,158
